driver_number,grid_baseline,avg_finish_position,best_case,worst_case,p_podium,p_top10,dnf_prob,expected_points
81,3.0,1.30096052400211,-0.69903947599789,5.30096052400211,0.854819,0.87855524,0.09008,20.95201
44,2.0,1.8511095986971635,-0.14889040130283648,5.851109598697164,0.7789317,0.8026642,0.17718,16.26614
4,5.0,2.78789736881549,0.7878973688154902,6.78789736881549,0.63606477,0.70373374,0.26611,11.68452
1,1.0,3.388752585750709,1.388752585750709,7.388752585750709,0.6029741,0.6208366,0.37639,8.7652
16,4.0,4.522352143704457,2.522352143704457,8.522352143704456,0.46204078,0.5202605,0.4099,6.64622
87,18.0,5.784703309108869,3.7847033091088687,9.784703309108869,0.18931553,0.5623848,0.29135,6.10758
63,8.0,5.976361114322044,3.976361114322044,9.976361114322044,0.36289433,0.41430607,0.48094,4.28166
7,13.0,7.2744405515370705,5.2744405515370705,11.27444055153707,0.20852587,0.25214204,0.29216,4.16955
31,14.0,7.743346543765122,5.743346543765122,11.74334654376512,0.1908272,0.22682692,0.32629,3.45422
30,16.0,8.232601149490696,6.232601149490696,12.232601149490696,0.04312726,0.3562368,0.29708,3.05777
43,21.0,8.454364937643748,6.4543649376437475,12.454364937643748,0.04029508,0.31927612,0.29999,2.81353
23,12.0,8.37692404347553,6.37692404347553,12.37692404347553,0.06738771,0.3515211,0.36332,2.636
12,7.0,7.309983655993186,5.309983655993186,11.309983655993186,0.27965152,0.37721923,0.56559,2.54649
55,6.0,7.411096717290041,5.411096717290041,11.411096717290041,0.32276994,0.3566698,0.63719,2.06714
14,9.0,7.781686593674611,5.781686593674611,11.78168659367461,0.2867983,0.33422637,0.62279,1.92594
27,15.0,9.532795018304991,7.532795018304991,13.532795018304991,0.055492297,0.19551122,0.41546,1.49427
5,10.0,9.656162132554318,7.656162132554318,13.656162132554318,0.18252657,0.2505589,0.72615,0.67714
22,17.0,11.166124765788604,9.166124765788604,15.166124765788604,0.010078552,0.06625757,0.63708,0.33262
6,20.0,10.836095356256646,8.836095356256646,14.836095356256646,0.1054241,0.14426516,0.77432,0.27457
18,19.0,11.31546952487602,9.31546952487602,15.31546952487602,0.02786233,0.15855545,0.81247,0.15678
10,11.0,11.621146459174629,9.621146459174629,15.621146459174629,0.005925863,0.035486113,0.79694,0.12981
